X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm)
38.810253,276405.11,269766.77,263115.94,256456.83,249793.63,130070.12,125072.02,120133,115255.63,110442.46,-30,84.648945,2622.7899
38.820253,276179.79,269671.54,263151.34,256623.15,250090.94,129799.42,124920.11,120097.23,115333.18,110630.34,-30,84.693875,2622.9087
38.830253,275960.78,269579.62,263187.03,256786.74,250382.49,129533.59,124770.24,120060.81,115407.5,110812.56,-30,84.738806,2623.0293
38.840253,275747.9,269490.85,263222.86,256947.44,250668.13,129272.75,124622.56,120023.87,115478.74,110989.25,-30,84.783738,2623.1516
38.850253,275540.94,269405.03,263258.65,257105.12,250947.76,129017,124477.19,119986.56,115547.06,111160.6,-30,84.828672,2623.2755
38.860253,275339.64,269321.97,263294.27,257259.68,251221.32,128766.38,124334.21,119949.03,115612.62,111326.8,-30,84.873606,2623.401
38.870253,275143.71,269241.44,263329.57,257411.04,251488.81,128520.9,124193.71,119911.4,115675.64,111488.11,-30,84.918542,2623.5281
38.880253,274952.83,269163.22,263364.4,257559.15,251750.28,128280.52,124055.72,119873.8,115736.3,111644.8,-30,84.963478,2623.6567
38.890253,274766.66,269087.06,263398.64,257704.03,252005.85,128045.14,123920.27,119836.35,115794.83,111797.18,-30,85.008416,2623.7867
38.900253,274584.8,269012.72,263432.18,257845.67,252255.67,127814.65,123787.36,119799.17,115851.46,111945.57,-30,85.053355,2623.9182
38.910253,274406.86,268939.95,263464.93,257984.14,252499.94,127588.88,123656.94,119762.36,115906.41,112090.34,-30,85.098295,2624.0509
38.920253,274232.4,268868.48,263496.79,258119.52,252738.92,127367.6,123528.98,119726.02,115959.92,112231.85,-30,85.143237,2624.1849
38.930253,274061,268798.07,263527.69,258251.94,252972.91,127150.59,123403.38,119690.24,116012.25,112370.51,-30,85.188179,2624.3201
38.940253,273892.19,268728.47,263557.58,258381.52,253202.27,126937.54,123280.05,119655.07,116063.62,112506.72,-30,85.233122,2624.4563
38.950253,273725.52,268659.41,263586.43,258508.46,253427.36,126728.15,123158.86,119620.59,116114.29,112640.91,-30,85.278066,2624.5936
38.960253,273560.52,268590.65,263614.2,258632.93,253648.61,126522.07,123039.68,119586.85,116164.5,112773.48,-30,85.323012,2624.7317
38.970253,273396.73,268521.96,263640.89,258755.17,253866.47,126318.94,122922.32,119553.89,116214.47,112904.88,-30,85.367958,2624.8707
38.980253,273233.68,268453.11,263666.5,258875.41,254081.43,126118.36,122806.62,119521.73,116264.44,113035.53,-30,85.412906,2625.0105
38.990253,273070.93,268383.88,263691.06,258993.92,254293.96,125919.93,122692.39,119490.39,116314.64,113165.84,-30,85.457854,2625.1508
39.000253,272908.03,268314.08,263714.6,259110.97,254504.6,125723.21,122579.4,119459.87,116365.26,113296.23,-30,85.502804,2625.2917
39.010253,272744.56,268243.51,263737.17,259226.85,254713.86,125527.8,122467.46,119430.16,116416.5,113427.1,-30,85.547754,2625.4331
39.020253,272580.11,268172.01,263758.85,259341.86,254922.28,125333.24,122356.32,119401.24,116468.56,113558.83,-30,85.592706,2625.5747
39.030253,272414.31,268099.41,263779.69,259456.29,255130.38,125139.11,122245.77,119373.1,116521.6,113691.79,-30,85.637658,2625.7166
39.040253,272246.8,268025.59,263799.78,259570.45,255338.69,124944.98,122135.57,119345.68,116575.77,113826.31,-30,85.682612,2625.8587
39.050253,272077.25,267950.42,263819.22,259684.65,255547.72,124750.44,122025.49,119318.94,116631.2,113962.72,-30,85.727566,2626.0007
39.060253,271905.38,267873.82,263838.11,259799.18,255757.97,124555.07,121915.3,119292.82,116688.02,114101.29,-30,85.772522,2626.1427
39.070253,271730.92,267795.71,263856.56,259914.33,255969.91,124358.5,121804.79,119267.28,116746.33,114242.29,-30,85.817478,2626.2844
39.080253,271553.66,267716.03,263874.67,260030.38,256183.98,124160.37,121693.72,119242.22,116806.19,114385.94,-30,85.862435,2626.4259
39.090253,271373.41,267634.75,263892.56,260147.6,256400.6,123960.33,121581.9,119217.59,116867.67,114532.43,-30,85.907393,2626.567
39.100253,271190.03,267551.85,263910.35,260266.22,256620.14,123758.08,121469.15,119193.3,116930.8,114681.9,-30,85.952352,2626.7076
39.110253,271003.41,267467.35,263928.16,260386.48,256842.94,123553.35,121355.27,119169.28,116995.61,114834.48,-30,85.997312,2626.8476
39.120253,270813.5,267381.26,263946.09,260508.57,257069.28,123345.91,121240.12,119145.44,117062.08,114990.24,-30,86.042273,2626.987
39.130253,270620.28,267293.64,263964.26,260632.67,257299.4,123135.56,121123.55,119121.7,117130.2,115149.21,-30,86.087235,2627.1256
